customer_id,manager_id,campaign_id,campaign_name,current_budget_gbp,new_budget_gbp,action,notes
# P9 Dec 23 - MINIMAL BUDGETS (£2,000 total) - Maintain minimal presence before sale
# UK Account (£860)
8573235780,2569949686,13810745002,SMY | UK | Search | Semi Brand - Diaries,150.00,150.00,BUDGET_CHANGE,943% ROAS - Maintain
8573235780,2569949686,13811031042,SMY | UK | Search | Brand Exact,125.00,125.00,BUDGET_CHANGE,810% ROAS - Maintain
8573235780,2569949686,23021472678,SMY | UK | P Max | H&S - Men's Briefcases,100.00,100.00,BUDGET_CHANGE,704% ROAS - Maintain
8573235780,2569949686,22845468179,SMY | UK | P Max | H&S,75.00,75.00,BUDGET_CHANGE,599% ROAS - Maintain
8573235780,2569949686,23233714033,SMY | UK | P Max | H&S Christmas Gifting,75.00,75.00,BUDGET_CHANGE,548% ROAS - Maintain
8573235780,2569949686,23194794411,SMY | UK | P Max | Diaries,50.00,50.00,BUDGET_CHANGE,432% ROAS - Maintain
8573235780,2569949686,13813053110,SMY | UK | Search | Brand Stationery,30.00,30.00,BUDGET_CHANGE,521% ROAS - Maintain
8573235780,2569949686,13813052579,SMY | UK | Search | Brand Plus,50.00,50.00,BUDGET_CHANGE,409% ROAS - Maintain
8573235780,2569949686,23074901902,SMY | UK | Search | Generic,18.00,18.00,BUDGET_CHANGE,543% ROAS - Maintain
8573235780,2569949686,23215754148,SMY | UK | Search | Competitor,20.00,20.00,BUDGET_CHANGE,455% ROAS - Maintain
8573235780,2569949686,19227602347,UK - brand - core - test,100.00,100.00,BUDGET_CHANGE,Brand backup
8573235780,2569949686,22217168349,UK_Brand_Core Landing Page Test,50.00,50.00,BUDGET_CHANGE,Brand test
8573235780,2569949686,20985724980,UK - brand - core £0.30,50.00,50.00,BUDGET_CHANGE,Brand core backup
8573235780,2569949686,21473381978,UK_Brand_Core Max Conv Value,37.00,37.00,BUDGET_CHANGE,Brand test
# USA Account (£650)
7808690871,2569949686,22796857828,SMY | US | P Max | Bags,150.00,150.00,BUDGET_CHANGE,1502% ROAS - Maintain
7808690871,2569949686,22546298306,SMY | US | PMax | Zombies,100.00,100.00,BUDGET_CHANGE,1295% ROAS - Maintain
7808690871,2569949686,23210838865,SMY | US | P Max | Diaries,75.00,75.00,BUDGET_CHANGE,1163% ROAS - Maintain
7808690871,2569949686,1683494533,SMY | US | Search | Brand Exact,100.00,100.00,BUDGET_CHANGE,960% ROAS - Maintain
7808690871,2569949686,23232558954,SMY | US | P Max | H&S Christmas Gifting,40.00,40.00,BUDGET_CHANGE,895% ROAS - Maintain
7808690871,2569949686,18037696979,SMY | US | P Max | H&S,35.00,35.00,BUDGET_CHANGE,797% ROAS - Maintain
7808690871,2569949686,23012390791,SMY | US | Search | Brand Plus Diaries,50.00,50.00,BUDGET_CHANGE,790% ROAS - Maintain
7808690871,2569949686,1602584781,SMY | US | Search | Brand Plus,30.00,30.00,BUDGET_CHANGE,571% ROAS - Maintain
7808690871,2569949686,1602585081,SMY | US | Search | Brand Leather,20.00,20.00,BUDGET_CHANGE,672% ROAS - Maintain
7808690871,2569949686,1602584829,SMY | US | Search | Brand Stationery,20.00,20.00,BUDGET_CHANGE,485% ROAS - Maintain
7808690871,2569949686,19228636229,USA - brand test to reduce cpc,30.00,30.00,BUDGET_CHANGE,Brand test
# EUR Account (£360)
7679616761,2569949686,1599767262,SMY | EUR | IT | Search Brand,100.00,100.00,BUDGET_CHANGE,1903% ROAS - Maintain
7679616761,2569949686,691020848,SMY | EUR | DE | Search | Brand,50.00,50.00,BUDGET_CHANGE,1021% ROAS - Maintain
7679616761,2569949686,22440993281,SMY | EUR | ROEuro | Search | Brand,50.00,50.00,BUDGET_CHANGE,923% ROAS - Maintain
