customer_id,manager_id,campaign_id,campaign_name,current_budget_gbp,new_budget_gbp,action,notes
# P9 Dec 24 6pm - SALE LAUNCH BALANCED (£3,500 total) - Gradual scale across portfolio
# UK Account (£1,505) - Broad participation
8573235780,2569949686,13810745002,SMY | UK | Search | Semi Brand - Diaries,250.00,350.00,BUDGET_CHANGE,943% ROAS - 1.4x scale
8573235780,2569949686,13811031042,SMY | UK | Search | Brand Exact,200.00,300.00,BUDGET_CHANGE,810% ROAS - 1.5x scale
8573235780,2569949686,23021472678,SMY | UK | P Max | H&S - Men's Briefcases,100.00,150.00,BUDGET_CHANGE,704% ROAS - 1.5x scale
8573235780,2569949686,22845468179,SMY | UK | P Max | H&S,50.00,125.00,BUDGET_CHANGE,599% ROAS - 2.5x scale
8573235780,2569949686,23233714033,SMY | UK | P Max | H&S Christmas Gifting,50.00,125.00,BUDGET_CHANGE,548% ROAS - 2.5x scale
8573235780,2569949686,23194794411,SMY | UK | P Max | Diaries,75.00,100.00,BUDGET_CHANGE,432% ROAS - 1.3x scale
8573235780,2569949686,13813053110,SMY | UK | Search | Brand Stationery,30.00,75.00,BUDGET_CHANGE,521% ROAS - 2.5x scale
8573235780,2569949686,13813052579,SMY | UK | Search | Brand Plus,91.40,75.00,BUDGET_CHANGE,409% ROAS - Maintain
8573235780,2569949686,23074901902,SMY | UK | Search | Generic,18.28,50.00,BUDGET_CHANGE,543% ROAS - Scale
8573235780,2569949686,23215754148,SMY | UK | Search | Competitor,36.56,50.00,BUDGET_CHANGE,455% ROAS - Test
8573235780,2569949686,19227602347,UK - brand - core - test,1572.12,60.00,BUDGET_CHANGE,Brand backup
8573235780,2569949686,22217168349,UK_Brand_Core Landing Page Test,1572.12,50.00,BUDGET_CHANGE,Brand test
# USA Account (£1,085) - Smart distribution
7808690871,2569949686,22796857828,SMY | US | P Max | Bags,150.00,250.00,BUDGET_CHANGE,1502% ROAS - 1.7x careful scale
7808690871,2569949686,22546298306,SMY | US | PMax | Zombies,100.00,175.00,BUDGET_CHANGE,1295% ROAS - 1.75x scale
7808690871,2569949686,23210838865,SMY | US | P Max | Diaries,75.00,150.00,BUDGET_CHANGE,1163% ROAS - 2x scale
7808690871,2569949686,1683494533,SMY | US | Search | Brand Exact,100.00,150.00,BUDGET_CHANGE,960% ROAS - 1.5x scale
7808690871,2569949686,23232558954,SMY | US | P Max | H&S Christmas Gifting,40.00,100.00,BUDGET_CHANGE,895% ROAS - 2.5x scale
