Timestamp,Client,Note,Tags (optional)
20/10/2025 14:46,Tree2mydoor,New ad groups added to the birthdays campaign. These are more granular than usual they contain special birthday days like 40 50 60 and there are a lot of ad groups and their corresponding keywords which have fab at in them. The ads for these ad groups have been auto-generated by AI and are quite basic to start off with but they have the relevant keywords in them so the quality score is good 
10/10/2025 09:00,Devonshire Hotels,The Hyde Hotel campaign live. 
20/10/2025 15:31,Accessories For The Home,"Base ROAS dropped from 210 to 200% to try and counteract a drop in impressions. This drop in impressions may well be seasonal but as there is a strong ROAS being achieved at the moment, it's worth doing prior to the season starting proper"
20/10/2025 17:43,Devonshire Hotels,"An extra £30 per day was added to the Devonshire Arms Search campaign, and an extra £50 per day on the P Max campaign. It needs to be shown at the end of the month that these actually produced an incremental increase in revenue at the same rate as was being produced before the budget increase. "
20/10/2025 18:17,Tree2mydoor,Split out P Max campaign into a new non-Roses P Max campaign kept the existing one of the roses P Max campaign. This is just for the HP&P versions of these campaigns. 
15/10/2025 08:47,Uno Lighting,"Decrease the target ROAS by 10% on the main PMax campaigns, so this took it down to 205%. "
21/10/2025 13:59,Uno Lighting,Switched on AI Max for search brand campaign. Is this going to expand out the number of impressions available? Take a look at the search terms in two weeks' time
24/10/2025 09:03,National Design Academy,New videos uploaded for India PMAX campaign. With the hope that they will increase CTR 
21/10/2025 14:18,Print My PDF,Print my PDF prices reduced
21/10/2025 17:14,Clear Prospects,BMPM search campaign started. This is a simple search campaign which initially just has cushions ad group with three broad match keywords using AI Max. 
21/10/2025 17:15,Clear Prospects,"BMPM PMax campaign target removed, and budget dropped to £50 a day."
21/10/2025 17:24,Superspace,50% drop in budgets for UK and Australia campaigns due to stock shortages. 
22/10/2025 12:34,Bright Minds,New asset group set live for Science Toys
16/10/2025 10:00,Godshot,Account re-enabled
22/10/2025 15:46,Bright Minds,Stem toys asset group created
23/10/2025 11:30,Smythson,"New ads set live for the UK search brand stationery campaign. These have higher relevance, so hopefully will improve CTR"
23/10/2025 14:05,Smythson,"For the UK account, search Brand Exact all customers and new customers consolidated into one campaign. The campaign it was consolidated into is the all customers version of it. The target RAS was dropped from 660 to 450, no change to the budget because it doesn't appear to be spent on a daily basis"
23/10/2025 16:37,Smythson,Paused the PMax H&S new customers campaign and increased the budget on the PMax H&S returning customers campaign to £300 per day
23/10/2025 18:05,Superspace,"Paused all ad groups in the Demand Gen main campaign (i.e., not the retargeting one) with the exception of the lookalike ad group, which seems to be performing the best"
23/10/2025 21:51,Tree2mydoor,Reduce target ROAS targets across the board in response to a slowdown in traffic.
23/10/2025 21:52,Tree2mydoor,Reverted previous breakdown of PMax campaigns into Roses and non-Roses
24/10/2025 06:23,Devonshire Hotels,Portfolio bid strategy across all campaigns increased target ROAS from 550 to 570 in order to slow down the spend trajectory and hit the budget
24/10/2025 11:55,Smythson,AI max for the UK generics campaign
20/10/2025 09:00,Superspace,"email received from client - Can we pull back the daily budget spend on Google ads for both UK & AU for the next few weeks, please?  We're running low on stocks for both countries (at current run-rate less than 2 weeks worth each), and new stocks aren't likely until early Dec.

I see we have c£600 (UK) and c£400 (AU) daily - will leave it up to you re how quickly you can safely reduce them, but let's aim for say 50-60% of those current levels.

We'll let you know as soon as we're ready to ramp up again."
28/10/2025 21:29,Smythson,Notebooks added as an asset group into the P Max H&S for UK
28/10/2025 21:29,Smythson,Diaries broken out into their own P Max campaign. This is for all diaries
30/10/2025 16:16,Smythson,"With the UK account, new asset groups were created: notebooks, travel bags, card holders, jewellerey boxes and rolls and stationery."
30/10/2025 20:00,Clear Prospects,"Investigating recurring Merchant Center disapprovals (desktop 404 errors). Hypothesis: Client has blocked IP addresses in past that may include Google's crawler IPs. Client will check blocked IPs and unblock Google crawlers. Product Impact Analyzer configured to monitor every 6 hours (6 AM, 12 PM, 6 PM, 12 AM) to quickly detect resolution. If unblocking IPs fixes issue, this explains intermittent disapprovals.",merchant-center technical-issue hypothesis-testing
03/11/2025 14:17,Devonshire Hotels,AI max added to all the search campaigns
03/11/2025 14:31,Clear Prospects,Bagpus wheat bag back in stock on WBS. Keep a close eye on this one and report back on what's happening with it


03/11/2025 14:45,Devonshire Hotels,"WHY: November budget lower than October (£9,000 vs £11,730). Unable to adjust over weekend when month rolled over, so campaigns ran 3 days at old higher budgets causing 163% pacing (£1,427 spend in 3 days). WHAT: Budget adjustments made today across all DEV Properties campaigns to align with November £9,000 target. EXPECTED: Daily spend to stabilize and hit 100% pacing by month-end. REVIEW: Daily checks for next few days, then weekly budget reviews. SUCCESS: Month ends at 100% pacing (£9,000 total spend).",budget pacing spend-control
11/11/2025 16:00,Clear Prospects,"Campaign Audit Implementation: (1) Changed 4 PMax campaigns from PRESENCE_OR_INTEREST to PRESENCE targeting (HSG Villains, HSG Zombies, WBS Villains, WBS Zombies) - eliminates 20-30% geographic waste (£142-213/month saved). (2) Set BMPM PMax target ROAS to 70% (was no target) - gives algorithm profitability guidance. (3) Increased WBS PMax H&S budget from £120/day to £150/day - strong 129% ROAS performer expecting £774-1,161/month additional revenue. (4) Consolidated 3 low-volume HSG Search campaigns (Hot Water Bottle 8 conv/month, Photo Bunting 3 conv/month, Photo Face Cushion 4 conv/month) into single 'CPL | HSG | Search | Products 130 16/9' campaign - improves Smart Bidding data volume. (5) NOTE: Cannot delete experiment campaigns (Google Ads restriction) - left enabled but not spending. (6) BMPM Nov 6 product feed change NOT visible in Merchant Centre - may be false positive from Product Impact Analyzer. Review: 9 Dec 2025.",campaign-audit implementation geographic-targeting budget-optimization campaign-consolidation
13/11/2025 00:00,Uno Lighting,"Weekly budget tracking added to automated weekly summary email (Mondays). Tracks £1,800/day budget increase implementation (Nov 13 - Dec 6): spend vs target, ROAS performance, daily averages, and days remaining. WHY: Ensure budget increase stays on track toward £130k revenue target. EXPECTED: Weekly visibility into performance trends, early warning if off-track. REVIEW: Every Monday via email, end of period review Dec 7. SUCCESS: Maintain 300%+ ROAS, £1,800/day average spend, hit £130k revenue target by Dec 6.",tracking automation budget-monitoring
13/11/2025 14:30,Superspace,"US campaign budgets increased 140% (£5,000/day → £12,010/day) for Black Friday/Cyber Monday peak. Breakdown: Shopping Branded £4,500, P Max Brand Excluded £2,700, Shopping Brand Excluded £2,200, Search Brand Inclusion £1,200, Search Generics £790, Demand Gen main £450, Demand Gen Retargeting £150. WHY: Core campaign CR at 4.88-5.35% and strong stock availability opened up opportunity to capture peak season demand. Demand Gen campaigns restarted Nov 9 (generating 1,000-1,500 clicks/day for top-of-funnel awareness targeting 60+ grandparent demographic). EXPECTED: Significant volume growth during peak window whilst maintaining £50 target CPA. Target ROAS holding at 550% (not reduced). REVIEW: Daily spend pacing monitoring through Black Friday/Cyber Monday period. SUCCESS: Campaigns hit new budget levels, volume scales proportionally, maintain profitability at £50 target CPA.",budget-increase q4-scaling black-friday demand-gen
